example,method,param,value
6,joint_seq_init,uncMeta,1.250112355
6,joint_seq_init,confCritR,3.956382722
6,joint_seq_init,confCritL,2.711961429
6,joint_seq_init,nll,69.18148091
7,truth,guessRate,0
7,truth,alpha_gain,0.5942885304
7,truth,beta_gain,0.4762643084
7,truth,gamma_gain,1.205821238
7,truth,uncMeta,0.3371985697
7,truth,confCritR,0.4518812997
7,truth,confCritL,1.42921113
7,truth,nll,58.84708761
7,sequential,guessRate,0.01
7,sequential,alpha_gain,0.5980321399
7,sequential,beta_gain,0.6097157081
7,sequential,gamma_gain,2.036758611
7,sequential,uncMeta,0.9552477677
7,sequential,confCritR,0.7007855474
7,sequential,confCritL,4.295319795
7,sequential,nll,52.24374763
7,joint,guessRate,0.01
7,joint,alpha_gain,0.6320470537
7,joint,beta_gain,0.5531861389
7,joint,gamma_gain,1.472505562
7,joint,uncMeta,0.7463961363
7,joint,confCritR,1.035593573
7,joint,confCritL,2.416597162
7,joint,nll,53.90113085
7,joint_seq_init,guessRate,0.01
7,joint_seq_init,alpha_gain,0.610102444
7,joint_seq_init,beta_gain,0.5995245164
7,joint_seq_init,gamma_gain,1.855551094
7,joint_seq_init,uncMeta,0.549042333
7,joint_seq_init,confCritR,0.9041163752
7,joint_seq_init,confCritL,3.138095579
7,joint_seq_init,nll,52.24298829
8,truth,guessRate,0
8,truth,alpha_gain,0.7481877814
8,truth,beta_gain,0.1622275289
8,truth,gamma_gain,4.622096744
8,truth,uncMeta,0.2543617836
8,truth,confCritR,7.566343994
8,truth,confCritL,0.7204471853
8,truth,nll,6.039836004
8,sequential,guessRate,0.01
8,sequential,alpha_gain,0.7902485937
8,sequential,beta_gain,0.360771863
8,sequential,gamma_gain,3.24762295
8,sequential,uncMeta,0.4310956924
8,sequential,confCritR,8.047827838
8,sequential,confCritL,0.3229876339
8,sequential,nll,8.405386053
8,joint,guessRate,0.01
8,joint,alpha_gain,0.7937406507
8,joint,beta_gain,0.4527342154
8,joint,gamma_gain,4.694682403
8,joint,uncMeta,0.3096145388
8,joint,confCritR,7.87776805
8,joint,confCritL,0.2752204152
8,joint,nll,7.485150227
8,joint_seq_init,guessRate,0.01
8,joint_seq_init,alpha_gain,0.7505990375
8,joint_seq_init,beta_gain,0.3339215697
8,joint_seq_init,gamma_gain,5.551183039
8,joint_seq_init,uncMeta,0.4738293083
8,joint_seq_init,confCritR,6.084990203
8,joint_seq_init,confCritL,1.011315983
8,joint_seq_init,nll,6.827690882
9,truth,guessRate,0
9,truth,alpha_gain,0.8015615539
9,truth,beta_gain,0.4185827235
9,truth,gamma_gain,5.419011321
9,truth,uncMeta,0.1976846389
9,truth,confCritR,5.861258984
9,truth,confCritL,1.237903481
9,truth,nll,5.611898252
9,sequential,guessRate,0.01
9,sequential,alpha_gain,0.7623030696
9,sequential,beta_gain,0.3428214474
9,sequential,gamma_gain,3.711770239
9,sequential,uncMeta,0.2915665292
9,sequential,confCritR,4.325503437
9,sequential,confCritL,0.8136693025
9,sequential,nll,6.089705452
9,joint,guessRate,0.01
9,joint,alpha_gain,0.8270801653
9,joint,beta_gain,0.3321406611
9,joint,gamma_gain,3.240810537
9,joint,uncMeta,0.3776725162
9,joint,confCritR,6.074325607
9,joint,confCritL,0.8876830561
9,joint,nll,5.940242152
9,joint_seq_init,guessRate,0.01
9,joint_seq_init,alpha_gain,0.7915930392
9,joint_seq_init,beta_gain,0.3577121406
9,joint_seq_init,gamma_gain,4.457465805
9,joint_seq_init,uncMeta,0.2902726419
9,joint_seq_init,confCritR,6.418500528
9,joint_seq_init,confCritL,1.013450569
9,joint_seq_init,nll,4.811209269
10,truth,guessRate,0
10,truth,alpha_gain,0.5911987293
10,truth,beta_gain,0.1530563219
10,truth,gamma_gain,1.207933831
10,truth,uncMeta,3.382413796
10,truth,confCritR,3.956754448
10,truth,confCritL,0.8182277775
10,truth,nll,63.52579485
10,sequential,guessRate,0.01
10,sequential,alpha_gain,0.566741949
10,sequential,beta_gain,-0.1642399026
10,sequential,gamma_gain,1.220470503
10,sequential,uncMeta,1.973300525
10,sequential,confCritR,2.196645089
10,sequential,confCritL,0.2391280971
10,sequential,nll,60.49285778
10,joint,guessRate,0.01
10,joint,alpha_gain,0.5545463919
10,joint,beta_gain,0.09335701918
10,joint,gamma_gain,1.109434525
10,joint,uncMeta,1.340729918
10,joint,confCritR,1.524894616
10,joint,confCritL,0.4103097063
10,joint,nll,60.90585632
10,joint_seq_init,guessRate,0.01
10,joint_seq_init,alpha_gain,0.5721726994
10,joint_seq_init,beta_gain,-0.161855501
10,joint_seq_init,gamma_gain,0.9355171768
10,joint_seq_init,uncMeta,1.488168742
10,joint_seq_init,confCritR,1.351673376
10,joint_seq_init,confCritL,0.2296169698
10,joint_seq_init,nll,59.96287758
11,truth,guessRate,0
11,truth,alpha_gain,0.7590616951
11,truth,beta_gain,0.7262488423
11,truth,gamma_gain,1.341818016
11,truth,uncMeta,0.1921034858
11,truth,confCritR,3.02033689
11,truth,confCritL,2.654164972
11,truth,nll,50.57890238
11,sequential,guessRate,0.01
11,sequential,alpha_gain,0.671998608
11,sequential,beta_gain,0.6902331308
11,sequential,gamma_gain,1.716673857
11,sequential,uncMeta,0.4515041773
11,sequential,confCritR,2.676416834
11,sequential,confCritL,3.928309513
11,sequential,nll,48.28179222
11,joint,guessRate,0.01
11,joint,alpha_gain,0.6863948983
11,joint,beta_gain,0.6603285997
11,joint,gamma_gain,1.126291943
11,joint,uncMeta,0.4361212305
11,joint,confCritR,1.994934274
11,joint,confCritL,2.72091765
11,joint,nll,50.17872287
11,joint_seq_init,guessRate,0.01
11,joint_seq_init,alpha_gain,0.7185125465
11,joint_seq_init,beta_gain,0.7150969981
11,joint_seq_init,gamma_gain,1.013996066
11,joint_seq_init,uncMeta,0.4737584869
11,joint_seq_init,confCritR,2.66248896
11,joint_seq_init,confCritL,2.359753831
11,joint_seq_init,nll,50.05173269
12,truth,guessRate,0
12,truth,alpha_gain,0.6095028011
12,truth,beta_gain,0.2331986693
12,truth,gamma_gain,2.822682421
12,truth,uncMeta,2.10390646
12,truth,confCritR,5.205527614
12,truth,confCritL,0.6116451215
12,truth,nll,37.89876781
12,sequential,guessRate,0.01
12,sequential,alpha_gain,0.6142550384
12,sequential,beta_gain,0.1424216153
12,sequential,gamma_gain,2.851593754
12,sequential,uncMeta,2.622789114
12,sequential,confCritR,6.924025998
12,sequential,confCritL,0.2593108624
12,sequential,nll,37.88005093
12,joint,guessRate,0.01
12,joint,alpha_gain,0.6235629392
12,joint,beta_gain,0.2730113099
12,joint,gamma_gain,2.490936157
12,joint,uncMeta,1.737994636
12,joint,confCritR,5.203635012
12,joint,confCritL,0.5737551021
12,joint,nll,38.66557393
12,joint_seq_init,guessRate,0.01
12,joint_seq_init,alpha_gain,0.6077687215
12,joint_seq_init,beta_gain,0.1465259908
12,joint_seq_init,gamma_gain,2.610803685
12,joint_seq_init,uncMeta,2.800726115
12,joint_seq_init,confCritR,5.257550637
12,joint_seq_init,confCritL,0.198219106
12,joint_seq_init,nll,37.9469478
13,truth,guessRate,0
13,truth,alpha_gain,0.6024478387
13,truth,beta_gain,0.4000548948
13,truth,gamma_gain,0.6662289623
13,truth,uncMeta,2.139187273
13,truth,confCritR,0.6220709362
13,truth,confCritL,0.3996075892
13,truth,nll,73.62554577
13,sequential,guessRate,0.01
13,sequential,alpha_gain,0.5745194587
13,sequential,beta_gain,0.204319887
13,sequential,gamma_gain,0.6968257354
13,sequential,uncMeta,4.563184188
13,sequential,confCritR,0.3397496666
13,sequential,confCritL,0.6977372499
13,sequential,nll,72.83332528
13,joint,guessRate,0.01
13,joint,alpha_gain,0.5630460291
13,joint,beta_gain,0.2365027072
13,joint,gamma_gain,0.6756622327
13,joint,uncMeta,2.16067862
13,joint,confCritR,0.3199221487
13,joint,confCritL,0.4413509727
13,joint,nll,72.89831382
13,joint_seq_init,guessRate,0.01
13,joint_seq_init,alpha_gain,0.5638873698
13,joint_seq_init,beta_gain,0.204839213
13,joint_seq_init,gamma_gain,0.7692632843
13,joint_seq_init,uncMeta,4.295037075
13,joint_seq_init,confCritR,0.7256960676
13,joint_seq_init,confCritL,0.6106084425
13,joint_seq_init,nll,72.62518913
14,truth,guessRate,0
14,truth,alpha_gain,0.8406756541
14,truth,beta_gain,0.5144221628
14,truth,gamma_gain,2.688202901
14,truth,uncMeta,1.037023008
14,truth,confCritR,0.949890547
14,truth,confCritL,1.746776561
14,truth,nll,17.6892839
14,sequential,guessRate,0.01
14,sequential,alpha_gain,0.7958530365
14,sequential,beta_gain,0.4509283319
14,sequential,gamma_gain,4.311583264
14,sequential,uncMeta,2.632657143
14,sequential,confCritR,1.778067603
14,sequential,confCritL,3.454479846
14,sequential,nll,19.09702622
14,joint,guessRate,0.01
14,joint,alpha_gain,0.8149698055
14,joint,beta_gain,0.5245780316
14,joint,gamma_gain,2.56063964
14,joint,uncMeta,0.8233770089
14,joint,confCritR,1.11684409
14,joint,confCritL,1.433081121
14,joint,nll,18.31871472
14,joint_seq_init,guessRate,0.01
14,joint_seq_init,alpha_gain,0.8233262747
14,joint_seq_init,beta_gain,0.4819774403
14,joint_seq_init,gamma_gain,3.070179436
14,joint_seq_init,uncMeta,1.309857091
14,joint_seq_init,confCritR,1.638961185
14,joint_seq_init,confCritL,1.410888869
14,joint_seq_init,nll,17.96470804
15,truth,guessRate,0
15,truth,alpha_gain,0.328760533
15,truth,beta_gain,0.257357904
15,truth,gamma_gain,1.328160448
15,truth,uncMeta,2.765779678
15,truth,confCritR,1.436875726
15,truth,confCritL,2.446361405
15,truth,nll,90.5780638
15,sequential,guessRate,0.01
15,sequential,alpha_gain,0.3497740814
15,sequential,beta_gain,0.1168294776
15,sequential,gamma_gain,1.295781724
15,sequential,uncMeta,3.295561622
15,sequential,confCritR,1.187152204
15,sequential,confCritL,5.058577758
15,sequential,nll,87.75935962
15,joint,guessRate,0.01
15,joint,alpha_gain,0.401540727
