example,method,param,value
26,truth,confCritR,4.326289314
26,truth,confCritL,0.4690324934
26,truth,nll,22.59445476
26,sequential,guessRate,0.01
26,sequential,alpha_gain,1.084881658
26,sequential,beta_gain,0.5466936947
26,sequential,gamma_gain,1.269328217
26,sequential,uncMeta,1.054095649
26,sequential,confCritR,6.244670519
26,sequential,confCritL,0.3996451683
26,sequential,nll,20.62290386
26,joint,guessRate,0.01
26,joint,alpha_gain,1.035715919
26,joint,beta_gain,0.443930039
26,joint,gamma_gain,1.965419678
26,joint,uncMeta,0.9157500034
26,joint,confCritR,9.405006153
26,joint,confCritL,0.7073121303
26,joint,nll,20.5135442
26,joint_seq_init,guessRate,0.01
26,joint_seq_init,alpha_gain,1.100429933
26,joint_seq_init,beta_gain,0.5277864789
26,joint_seq_init,gamma_gain,1.20498704
26,joint_seq_init,uncMeta,0.9811247479
26,joint_seq_init,confCritR,7.717309505
26,joint_seq_init,confCritL,0.3381227342
26,joint_seq_init,nll,20.50506901
